ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities,Total_Revenue,Total_Expenses,Total_Assets,Net_Assets,Staff_FullTime,Staff_PartTime,Staff_Volunteers,State_Clean,Num_States_Operated,Num_Purposes,Num_Beneficiaries,Is_NT,Size_Encoded
98596385758.0,Dying with Dignity Queensland Incorporated,,Business,Po Box 432,,,Sherwood,QLD,4075,Australia,www.dwdq.org.au,19/05/2021,24/04/1991,Small,3,30-Jun,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,,,38504.0,25868.0,33329.0,33329.0,0.0,0.0,20.0,QLD,0,3,8,0,1.0
22591956861.0,Warialda Public School Parents & Citizens Association,,Business,Warialda Primary School,,,Warialda,NSW,2402,Australia,,19/05/2021,27/05/2005,Small,5,31-Dec,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,85390.0,79852.0,54449.0,52547.0,0.0,1.0,10.0,NSW,0,1,2,0,1.0
18648182129.0,FELLOWSHIP FOR INDIGENOUS LEADERSHIP LTD,,Business,460 City Road,,,South Melbourne,VIC,3205,,https://indigenousfellowship.net.au/,21/04/2021,23/02/2021,Medium,5,30-Jun,0,0,0,0,0,0,1,0,AUS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,,,,379431.0,201200.0,178679.0,178679.0,0.0,0.0,12.0,VIC,1,1,13,0,2.0
21941553893.0,Seventh-day Adventist Church (Victorian Conference) Trust,,Business,141 Central Rd,,,Nunawading,VIC,3131,Australia,vic.adventist.org.au,01/01/2021,03/11/2003,Large,13,31-Dec,0,0,0,0,0,0,1,0,AUS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,19465507.0,19002528.0,19787794.0,14048283.0,0.0,0.0,0.0,VIC,1,1,1,0,3.0
57727581447.0,OATLEY OOSHCARE INCORPORATED,,Business,Oatley Public School,,,Oatley,NSW,2223,Australia,,01/07/2019,01/11/1999,Medium,6,31-Dec,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1290843.0,1555867.0,841172.0,734005.0,2.0,4.0,10.0,NSW,0,1,2,0,2.0
94130921120.0,Inscape Tas Incorporated,,Business,Po Box 3114,,,West Hobart,TAS,7000,Australia,www.inscape.org.au,02/09/2021,15/06/2015,Small,6,30-Jun,0,0,0,0,0,1,0,0,AUS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,,,,193164.0,115238.0,0.0,0.0,0.0,0.0,6.0,TAS,1,1,14,0,1.0
51177081228.0,Frame Running Wollongong,,Business,1 Lassiter Ave,,,Woonona,NSW,2517,Australia,www.framerunningwollongong.org.au,15/04/2021,26/03/2021,Small,9,30-Jun,0,1,0,0,0,0,0,0,AUS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,100567.0,74983.0,142000.0,142000.0,0.0,0.0,53.0,NSW,1,1,4,0,1.0
71986793013.0,WORLD ARTS & MULTI-CULTURE INC.,Susan Yang,Business,Shop 7 62 Pinelands Rd,,,Sunnybank Hills,QLD,4109,Australia,www.wamciaustralia.org,03/05/2021,19/08/2003,Small,6,30-Jun,0,0,0,1,0,0,0,0,AUS,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,69337.0,74157.0,8332.0,8332.0,0.0,0.0,30.0,QLD,1,2,10,0,1.0
88646097994.0,NOWSIS LIMITED,,Business,31 Bertram St,,,Chatswood,NSW,2067,Australia,,23/11/2020,27/11/2020,Small,4,30-Jun,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,3449.0,0.0,0.0,0.0,0.0,NSW,0,1,0,0,1.0
92635761527.0,THE AUSTRALASIAN SOCIETY FOR PHYSICAL ACTIVITY LTD,,Business,Deakin University Burwood,,,Burwood,VIC,3125,Australia,www.aspactivity.org,22/10/2019,22/10/2019,Small,9,30-Jun,0,0,0,0,0,0,0,0,AUS,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,,,Y,112004.0,47875.0,0.0,0.0,0.0,0.0,80.0,VIC,0,2,14,0,1.0
